resale_price,lease_remain_years,bhk,floor,address_encoded_numeric
370000.0,79,4,11.0,20
378000.0,79,4,8.0,20
380000.0,81,4,2.0,20
388000.0,79,4,8.0,20
395000.0,81,4,17.0,20
395000.0,81,4,11.0,20
400000.0,86,4,2.0,20
400000.0,83,4,2.0,20
403000.0,79,4,17.0,20
405000.0,81,4,8.0,20
410000.0,80,4,17.0,20
420000.0,79,4,2.0,20
422000.0,80,4,11.0,20
425000.0,83,4,11.0,20
427000.0,79,4,17.0,20
430000.0,83,4,14.0,20
435000.0,83,4,14.0,20
440000.0,86,4,5.0,20
448000.0,87,4,2.0,20
455000.0,87,4,5.0,20
470000.0,87,4,5.0,20
475000.0,87,4,14.0,20
481168.0,86,4,14.0,20
483000.0,87,4,8.0,20
490000.0,87,4,11.0,20
500000.0,87,4,11.0,20
505000.0,87,4,14.0,20
510000.0,87,4,11.0,20
438000.0,79,5,8.0,20
440000.0,78,5,11.0,20
447000.0,81,5,11.0,20
450000.0,79,5,5.0,20
450000.0,79,5,8.0,20
458000.0,79,5,14.0,20
460000.0,79,5,11.0,20
465000.0,81,5,17.0,20
465000.0,81,5,14.0,20
465000.0,79,5,14.0,20
475888.0,79,5,17.0,20
480000.0,81,5,17.0,20
480000.0,79,5,14.0,20
495000.0,79,5,8.0,20
495000.0,79,5,17.0,20
500000.0,81,5,8.0,20
510000.0,80,5,11.0,20
510000.0,80,5,8.0,20
524000.0,79,5,11.0,20
540000.0,80,5,14.0,20
305000.0,46,3,2.0,20
310000.0,43,3,5.0,20
313000.0,46,3,8.0,20
335000.0,43,3,5.0,20
350000.0,46,3,8.0,20
350000.0,43,3,5.0,20
350000.0,52,3,8.0,20
350000.0,52,3,2.0,20
350000.0,46,3,8.0,20
355000.0,52,3,2.0,20
377000.0,52,3,8.0,20
380000.0,50,3,2.0,19
415000.0,50,3,23.0,19
420000.0,52,3,8.0,20
435000.0,51,3,23.0,20
440000.0,51,3,11.0,20
460000.0,46,3,20.0,20
482000.0,87,3,8.0,20
463000.0,50,4,20.0,20
496000.0,50,4,20.0,20
585000.0,50,4,14.0,20
660000.0,76,4,8.0,20
668000.0,88,4,17.0,20
670000.0,76,4,2.0,20
688888.0,73,4,8.0,20
728000.0,88,4,2.0,20
755000.0,82,4,20.0,20
765000.0,76,4,23.0,20
750000.0,76,5,2.0,20
780000.0,79,5,29.0,20
822800.0,82,5,5.0,20
825000.0,88,5,5.0,20
339000.0,80,4,5.0,20
340000.0,76,4,8.0,20
343000.0,77,4,2.0,20
352000.0,78,4,11.0,20
353888.0,78,4,8.0,20
355000.0,77,4,2.0,20
360000.0,77,4,8.0,20
367000.0,75,4,11.0,20
370000.0,77,4,11.0,20
375000.0,75,4,14.0,20
376888.0,82,4,17.0,20
388000.0,74,4,11.0,20
390000.0,80,4,14.0,20
397000.0,75,4,5.0,20
380000.0,74,5,2.0,20
425000.0,77,5,11.0,20
445000.0,77,5,8.0,20
450000.0,77,5,8.0,20
465000.0,77,5,11.0,20
470000.0,75,5,14.0,20
475000.0,77,5,14.0,20
355000.0,83,3,5.0,20
357000.0,83,3,8.0,20
370000.0,87,3,5.0,20
355000.0,79,4,2.0,20
358000.0,75,4,11.0,20
363000.0,77,4,5.0,20
365000.0,77,4,5.0,20
370000.0,75,4,5.0,20
370000.0,75,4,5.0,20
370000.0,77,4,5.0,20
375000.0,78,4,5.0,20
375000.0,76,4,14.0,20
375000.0,76,4,5.0,20
380000.0,77,4,11.0,20
380000.0,75,4,11.0,20
385000.0,75,4,8.0,20
390000.0,75,4,5.0,20
395000.0,78,4,8.0,20
398888.0,77,4,14.0,20
410000.0,80,4,11.0,20
412000.0,77,4,14.0,20
415000.0,74,4,8.0,20
418000.0,77,4,17.0,20
420000.0,80,4,8.0,20
422000.0,76,4,8.0,20
423000.0,87,4,5.0,20
425000.0,79,4,8.0,20
428000.0,75,4,8.0,20
435000.0,77,4,11.0,20
436800.0,87,4,14.0,20
438000.0,87,4,20.0,20
455000.0,76,4,11.0,20
468000.0,87,4,20.0,20
500000.0,84,4,8.0,20
508000.0,86,4,14.0,20
510000.0,84,4,14.0,20
515000.0,85,4,5.0,20
519000.0,86,4,8.0,20
520000.0,85,4,14.0,20
525000.0,85,4,5.0,20
538000.0,85,4,14.0,20
550000.0,85,4,14.0,20
388000.0,79,5,5.0,20
395000.0,76,5,5.0,20
400000.0,79,5,2.0,20
402000.0,79,5,5.0,20
415000.0,77,5,2.0,20
420000.0,76,5,14.0,20
437000.0,75,5,5.0,20
438000.0,76,5,8.0,20
439888.0,76,5,14.0,20
445000.0,76,5,14.0,20
455000.0,78,5,5.0,20
458000.0,81,5,5.0,20
460000.0,77,5,11.0,20
